Iteration,Step,Ep_num,EpRet_mean,EpRet_std,EpLen_mean,EpErr_mean,EpErr_std,EpPsi_mean,EpPsi_std,EpSuccess_num,Value_loss,Policy_loss,Old_approx_kl,Approx_kl,Clipfrac,Explained_variance,Entropy,Time
14,172032,216,-63.55139225559989,46.43268961633629,55.5,559.1125710339899,335.25142978127985,28.339096556107204,22.14704560609654,0,912.0440673828125,0.013963446021080017,-1.7296522855758667e-05,0.001300690695643425,0.051839192708333336,4.8279762268066406e-05,3.5220208168029785,41.03676152229309
15,184320,216,-58.80257072239088,44.001918936459795,55.523148148148145,457.73391364491033,277.77863949555484,27.779802083969116,21.989507491346338,0,832.0448608398438,-0.003798671066761017,0.0005554407835006714,0.002538043074309826,0.024766710069444444,-3.0994415283203125e-06,3.514279365539551,41.34974908828735
16,196608,216,-48.68784585021029,43.61371839098915,55.467592592592595,390.4435476802929,228.83318509988757,32.83012588818868,23.30310543923184,0,809.3905029296875,-0.006224881857633591,0.004847021773457527,0.0016892068088054657,0.033772786458333336,-1.1563301086425781e-05,3.5095133781433105,41.215242862701416
17,208896,216,-47.01149995923842,44.300159549498744,55.495370370370374,381.12987191831576,217.6602296796424,34.63542575637499,25.279665592921038,0,661.1563720703125,0.008619766682386398,3.4347176551818848e-06,0.003700666129589081,0.013970269097222222,3.3974647521972656e-06,3.4971253871917725,41.185216426849365
18,221184,216,-47.43508155604301,44.27658173880864,55.47222222222222,364.2922969878017,193.4391813675617,49.05242517590523,27.298685060733344,0,618.8076782226562,0.0029049161821603775,0.02600269578397274,0.0036640921607613564,0.017632378472222224,-3.9577484130859375e-05,3.492283821105957,41.228745222091675
19,233472,217,-42.05106705679122,48.146546013922936,55.235023041474655,363.83038647808786,225.9210887812441,35.87851900109498,27.258444789579,1,612.67041015625,0.014627136290073395,0.0212361142039299,0.004112827591598034,0.025607638888888888,-2.9802322387695312e-06,3.4764695167541504,41.58727979660034
20,245760,217,-51.465502576090216,44.563196950137424,55.423963133640555,394.66478104291707,220.64085175357917,35.85155911709307,24.813081958918826,0,677.1839599609375,0.01656481996178627,-0.0014503467828035355,0.0040105851367115974,0.009874131944444444,-9.894371032714844e-06,3.470345973968506,41.523526191711426
21,258048,216,-44.99875338062716,42.70229153045189,55.09722222222222,365.4720265511146,200.3259200789757,42.24949652949969,28.481357182415298,0,598.7628173828125,-0.009381537325680256,-0.008137984201312065,0.0018717097118496895,0.025200737847222224,-6.556510925292969e-06,3.460792064666748,41.550994634628296
22,270336,219,-42.07492462474247,46.68363145516182,54.8675799086758,352.4352959111838,196.68867855336958,46.39822448769661,27.52025587741264,3,653.8710327148438,-0.017930611968040466,0.012881847098469734,0.006417042575776577,0.031005859375,-1.621246337890625e-05,3.4601287841796875,41.77584981918335
23,282624,218,-46.581823737713755,46.22240971389802,55.11009174311926,376.8801314327038,213.0573073601048,34.510899486891724,25.33408082795876,3,807.9642333984375,0.023118171840906143,0.025036795064806938,0.008569135330617428,0.042290581597222224,-8.344650268554688e-07,3.455002546310425,41.48585796356201
24,294912,217,-49.7342055106364,42.57346262168493,55.225806451612904,387.9514316700569,199.42654663174596,56.53240966357394,33.3393611823003,0,590.913818359375,-0.009123316034674644,0.0008556731045246124,0.0011821966618299484,0.014241536458333334,-1.1920928955078125e-05,3.4584097862243652,42.054112911224365
25,307200,217,-51.42755130538378,41.02805245820749,54.995391705069125,378.73492447869603,181.20926115065873,54.34301593885993,31.915502553167315,0,658.7796630859375,0.0009709075093269348,0.00151054747402668,0.003436489962041378,0.03125,-8.821487426757812e-06,3.425868034362793,44.36430478096008
26,319488,217,-42.96116008760186,44.95197203243583,55.02304147465438,351.29303197898275,191.0846536280227,46.89176656683469,28.390067028679216,0,509.4640197753906,-0.009512647986412048,-0.008793950080871582,0.0038215285167098045,0.032389322916666664,3.039836883544922e-06,3.430695056915283,42.30948734283447
27,331776,216,-43.63597931004518,46.74848174469691,55.36574074074074,357.90634211035064,208.88509615852132,52.731574177742004,30.23175807896721,2,650.9317016601562,0.0184608306735754,-0.004139775410294533,0.0026101795956492424,0.026584201388888888,-2.7418136596679688e-06,3.4251949787139893,43.22139000892639
